"","sample_barcode","collection_label","project","site_code","site_name","collection_date","accessioned","sample_type","habitat","host","trophic","site_type","metadata","lat","long","empo_1","empo_2","empo_3","PI","Processing","common_name","family","genus","species","taxonomy_info","photo","photo.notes"
"1",1,"MushroomA-1","Keck","01","Entrance","20180417","Yes","Mushroom","Terrestrial","Fungus","Decomposer","Core Waimea","need ID",21.6336,-158.05209,"Host-associated","Fungus","Fungus corpus","Anthony","Freeze Dry","Mushroom",NA,NA,NA,"what kind of mushroom?","N",NA
"2",2,"MushroomB-1","Keck","01","Entrance","20180417","Yes","Mushroom","Terrestrial","Fungus","Decomposer","Core Waimea","need ID",21.6336,-158.05209,"Host-associated","Fungus","Fungus corpus","Anthony","Freeze Dry","Mushroom",NA,NA,NA,"what kind of mushroom?","N",NA
"3",3,"MushroomC-1","Keck","01","Entrance","20180417","Yes","Mushroom","Terrestrial","Fungus","Decomposer","Core Waimea","need ID",21.6336,-158.05209,"Host-associated","Fungus","Fungus corpus","Anthony","Freeze Dry","Mushroom",NA,NA,NA,"what kind of mushroom?","N",NA
"4",4,"DicotFlowerA-1","Keck","01","Entrance","20180306","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Stachytarpheta cayennensis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Verbenaceae","Stachytarpheta","cayennensis","","N",NA
"5",5,"DicotFlowerD-1","Keck","01","Entrance","20180306","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Saraca indica",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Fabaceae","Saraca","indica","","N",NA
"6",6,"DicotFlowerC-1","Keck","01","Entrance","20180306","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Rivina humilis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Phytolaccaceae","Rivina","humilis","","N",NA
"7",8,"DicotFruitB-1","Keck","01","Entrance","20180306","Yes","DicotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","N",NA
"8",9,"DicotFruitC-1","Keck","01","Entrance","20180306","Yes","DicotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","Rivina humilis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Phytolaccaceae","Rivina","humilis","","N",NA
"9",10,"DicotLeafA-1","Keck","01","Entrance","20180306","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Stachytarpheta cayennensis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Verbenaceae","Stachytarpheta","cayennensis","","N",NA
"10",11,"DicotLeafB-1","Keck","01","Entrance","20180306","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","N",NA
