"sample_name"	"sample_id"	"collection_label"	"project_name"	"site_code"	"site_name"	"accessioned"	"sample_type"	"habitat"	"host"	"trophic"	"site_type"	"metadata"	"latitude_deg"	"longitude_deg"	"empo_1"	"empo_2"	"empo_3"	"env_material"	"env_feature"	"env_biome"	"enve_biom_0"	"envo_biom_1e"	"envo_biome_2"	"envo_biome_3"	"PI"	"Processing"	"common_name"	"family"	"genus"	"species"	"taxonomy_info"	"collection_timestamp"	"geo_loc_name"
933	"WMEA_00933_No_M2"	"RockSwab1A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
934	"WMEA_00934_No_M2"	"RockSwab1B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
935	"WMEA_00935_No_M2"	"RockSwab1C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
936	"WMEA_00936_No_M2"	"RockSwab2A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
937	"WMEA_00937_No_M2"	"RockSwab2B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
938	"WMEA_00938_No_M2"	"RockSwab2C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
939	"WMEA_00939_No_M2"	"RockSwab3A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
940	"WMEA_00940_No_M2"	"RockSwab3B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
941	"WMEA_00941_No_M2"	"RockSwab3C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
942	"WMEA_00942_No_M2"	"RockSwab4A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
